,A_all_soldiers_normal_coef,B_all_soldiers_normal_coef,C_all_soldiers_normal_coef,DRB1_all_soldiers_normal_coef,DQB1_all_soldiers_normal_coef,A_all_soldiers_normal_pvalue,B_all_soldiers_normal_pvalue,C_all_soldiers_normal_pvalue,DRB1_all_soldiers_normal_pvalue,DQB1_all_soldiers_normal_pvalue,A_all_soldiers_overweight_coef,B_all_soldiers_overweight_coef,C_all_soldiers_overweight_coef,DRB1_all_soldiers_overweight_coef,DQB1_all_soldiers_overweight_coef,A_all_soldiers_overweight_pvalue,B_all_soldiers_overweight_pvalue,C_all_soldiers_overweight_pvalue,DRB1_all_soldiers_overweight_pvalue,DQB1_all_soldiers_overweight_pvalue,A_ashkenazim_normal_coef,B_ashkenazim_normal_coef,C_ashkenazim_normal_coef,DRB1_ashkenazim_normal_coef,DQB1_ashkenazim_normal_coef,A_ashkenazim_normal_pvalue,B_ashkenazim_normal_pvalue,C_ashkenazim_normal_pvalue,DRB1_ashkenazim_normal_pvalue,DQB1_ashkenazim_normal_pvalue,A_ashkenazim_overweight_coef,B_ashkenazim_overweight_coef,C_ashkenazim_overweight_coef,DRB1_ashkenazim_overweight_coef,DQB1_ashkenazim_overweight_coef,A_ashkenazim_overweight_pvalue,B_ashkenazim_overweight_pvalue,C_ashkenazim_overweight_pvalue,DRB1_ashkenazim_overweight_pvalue,DQB1_ashkenazim_overweight_pvalue
const,-2.411510016148293,-2.41193350984976,-2.410624292553821,-2.408236114401558,-2.41682051853474,0.0,0.0,0.0,0.0,0.0,-2.321897228293854,-2.321400876489829,-2.314815489289365,-2.322563156377625,-2.326008724748124,0.0,0.0,0.0,0.0,0.0,-2.301626181581981,-2.302941497109207,-2.304430425406097,-2.300672044458924,-2.308924462465771,0.0,0.0,0.0,0.0,0.0,-2.198351642119988,-2.201478462112188,-2.195812265087064,-2.203212562164857,-2.211931430934251,5.229615005951457e-212,1.840927292940702e-213,1.145133570749133e-211,1.653997464717151e-213,1.697592215196234e-214
MIN,-0.4134420293259776,-0.413480273314095,-0.4135129911012601,-0.4134839978610441,-0.41343441318502,2.583882362838696e-245,2.341784980310932e-245,2.150799252586532e-245,2.35203133039071e-245,2.63698262511272e-245,-0.2703057749677427,-0.2704119841432958,-0.2705983368556086,-0.2703252632872442,-0.2702662119027746,1.856429734924754e-31,1.760994168357161e-31,1.60677176804136e-31,1.840408029671828e-31,1.892863842326784e-31,-0.4328861314487715,-0.4329178543131054,-0.432924741867837,-0.432993130983305,-0.4328721480793111,1.500938783101446e-125,1.447255208758662e-125,1.433299378729702e-125,1.315286944629992e-125,1.531480769171045e-125,-0.313382811447131,-0.3134432285664326,-0.3137842612323156,-0.3131939351234519,-0.3132870903132405,5.968250565177394e-20,5.868420182297374e-20,5.367787224483681e-20,6.28639583991397e-20,6.118035920895784e-20
Age_BMI,0.1841285245339811,0.1841362752154407,0.1841097239217832,0.184130939564035,0.1841484038180496,1.523550572514583e-250,1.505809461265404e-250,1.731175537279073e-250,1.586045035359555e-250,1.356688763143245e-250,0.2037200374656096,0.2036938548095131,0.2035681274612405,0.2037655324529673,0.203741298942501,6.092988631210853e-97,6.489303782496212e-97,8.517208253130151e-97,5.471209808921968e-97,5.752419800329383e-97,0.1661296241564904,0.1661014636971536,0.1660789594716308,0.1660757126784749,0.1660971942531468,1.160361511604562e-100,1.316105000830894e-100,1.353742477402158e-100,1.373416972582907e-100,1.292375668852084e-100,0.1864116108013145,0.1865218353514927,0.186423856525645,0.1864794392118709,0.1864751493107365,2.793470232135743e-39,2.511949602517959e-39,2.787291995756881e-39,2.56950497165596e-39,2.586426569748669e-39
Birth_year,-0.08454575005227007,-0.0846998329723644,-0.08456323981924888,-0.08518533821380958,-0.08433026725157086,6.078801444315687e-47,4.299852163772197e-47,5.785589122914143e-47,1.396395473980824e-47,1.053054273374445e-46,-0.09453625433213234,-0.09497541729477438,-0.09488363048422259,-0.09482123351159832,-0.09438476479121102,4.8597102785672e-18,3.504063768570788e-18,3.706856979476952e-18,3.989736483030629e-18,5.495278070202054e-18,-0.07287886774944471,-0.07325084558140202,-0.07272070472470701,-0.07308363873923678,-0.07245365500166889,3.482038387259725e-17,2.469951242057328e-17,4.055132921443209e-17,2.871736534690439e-17,5.188677277723755e-17,-0.1080348956391558,-0.108618287089461,-0.1082733121456978,-0.1078007602282094,-0.1071402327102714,1.041150952408753e-11,8.247364535034606e-12,9.415568763977182e-12,1.156849981550769e-11,1.512375670434333e-11
dapar_3gr,0.06588887676347224,0.06592575478354062,0.06591740578658761,0.06574196592854352,0.06592672526554957,4.890128826899984e-29,4.580220323700617e-29,4.6590441352224e-29,6.533366906823922e-29,4.562599153186258e-29,0.05947205008888323,0.05958196177786509,0.05969236114807522,0.05940249909809506,0.05958879064149482,6.687864649067813e-08,6.33209938629784e-08,5.980379292035746e-08,6.942922947086231e-08,6.301044968401575e-08,0.0572363391021482,0.05746091652706949,0.05739120828233846,0.05716262324108967,0.05736560815405241,2.713353457198382e-11,2.27565253495602e-11,2.401560804529961e-11,2.881909576295917e-11,2.449902218712292e-11,0.05061302973499389,0.05103193065581493,0.05113419861464471,0.0506417617358345,0.05083937966095672,0.001642378818868123,0.00150368884651084,0.001469696370858837,0.001632565084035768,0.001563535946883734
Educ_GE11YN,0.03420413931344466,0.03420470180920608,0.03420169754726906,0.03416775993093091,0.03422118702976752,1.55331537433164e-08,1.549361640865581e-08,1.55561280979269e-08,1.607192209400624e-08,1.528652002239844e-08,0.01072391840048424,0.01064561859571561,0.01071091203621723,0.01069195096306587,0.01071573566824223,0.3183386079349888,0.3218291443482867,0.3188768705189481,0.3197246565979999,0.3186609542415849,0.03227945189963165,0.03222753418051374,0.03227812689468478,0.03231774517541374,0.03231017319297259,0.0002560503161794007,0.0002611518426017563,0.0002558023341703413,0.0002512079304831867,0.0002522809951385142,0.00870515677330133,0.00878639886308428,0.008898123073495653,0.008771196924054248,0.00881362924953348,0.5785828312470194,0.574827374410209,0.5699800077647099,0.5755857085358485,0.5736954693101011
Eshkol_3gr,0.1175558424920077,0.1176404557739675,0.1176708841113312,0.1175889430422025,0.1176360794128688,1.992244735281492e-89,1.470185537195829e-89,1.317569741279797e-89,1.799327580787533e-89,1.474967410878846e-89,0.09810475290061903,0.09809762303243605,0.0982519594165891,0.09808578820518299,0.09817339964645819,1.474803849928438e-19,1.483334191387439e-19,1.295295082343401e-19,1.499724218960115e-19,1.386659529310477e-19,0.1311431278524881,0.1312808905655923,0.1313122880189738,0.1312021968684968,0.1313055519341528,1.736102391452129e-52,1.346536893689359e-52,1.262080268606026e-52,1.579660805598285e-52,1.274003614397138e-52,0.1365095635821872,0.136607948032806,0.1367547442391532,0.1366453118069692,0.1368827383300149,8.640072513115681e-18,8.19472556023134e-18,7.5037589878626e-18,8.014621406815813e-18,7.048693220136309e-18
Israeli,0.4286306725085792,0.4291150687425614,0.4290769910231094,0.4299385284178667,0.4287462405693488,1.759673075957151e-97,1.047445524583643e-97,1.086032996077519e-97,4.65882729721445e-98,1.622835872787289e-97,0.2988283550837533,0.2998692868667722,0.2994947187335751,0.3002423512606258,0.2995138882657409,8.126695389834774e-15,6.558305671437906e-15,7.105197851252792e-15,6.103217340350651e-15,7.113342274872056e-15,0.2798809499251699,0.2814822747034192,0.2811056051037421,0.281413278970809,0.2805728950364381,1.254015390661461e-21,7.400886191004875e-22,8.356916063949028e-22,7.567882771695306e-22,9.97572564840089e-22,0.1729484579541414,0.1759981487407337,0.1753617061935199,0.17530557958976,0.1733649733142001,0.001518304592898916,0.001252083120960474,0.001303276470669726,0.001308266245320571,0.001478629121529774
Homozygous,-0.03783712125483246,-0.05913719917980919,-0.04233452421600394,-0.09296512634290768,0.01270270399660192,0.07361453540094963,0.02392087217293893,0.02791611754245666,1.637615031208641e-05,0.4220801532400256,-0.04960957612150823,-0.1063219274826938,-0.1154960810102582,-0.05642716069056761,-0.004453044448132112,0.2086449145781555,0.03321272326031489,0.001770754984004837,0.1512615087969523,0.8798725716214693,-0.06206331256412673,-0.1006468745009652,-0.0331277338097797,-0.09359887049473804,0.009500235825627009,0.04589348009685432,0.0094489464619182,0.2377604802975325,0.003564681156300886,0.6851984809345741,-0.100889322274646,-0.1561213008256076,-0.1268867495088664,-0.07251372666876463,0.02946670166314352,0.08377879216427028,0.03431176539116031,0.0188334653486182,0.2161308178744535,0.4942342349093679
